Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF/50V,100nF_0603,135.470100,-83.432400,90.000000,top
C2,100nF/50V,100nF_0603,149.690100,-83.112400,90.000000,top
C3,100nF/50V,100nF_0603,130.190100,-92.362400,90.000000,top
C4,100nF/50V,100nF_0603,145.870100,-92.742400,0.000000,top
C5,100nF/50V,100nF_0603,129.880100,-95.892400,-90.000000,top
C6,30pF/50V,30pF_0603,133.350100,-108.972400,180.000000,top
C7,30pF/50V,30pF_0603,137.670100,-108.952400,180.000000,top
C8,100nF/50V,100nF_0603,128.780100,-105.102400,-90.000000,top
C9,100nF/50V,100nF_0603,142.240100,-102.202400,0.000000,top
C10,100nF/50V,100nF_0603,149.340100,-116.882400,90.000000,top
C11,100n_50V,100nF_0603,127.300100,-77.022400,90.000000,top
C12,100n_50V,100nF_0603,133.500100,-84.982400,-90.000000,top
C13,100nF/50V,100nF_0603,135.950100,-66.642400,90.000000,top
C14,100nF/50V,100nF_0603,135.430100,-77.862400,90.000000,top
C15,30pF/50V,30pF_0603,136.160100,-73.972400,90.000000,top
C16,30pF/50V,30pF_0603,127.330100,-73.862400,-90.000000,top
C17,100nF/50V,100nF_0603,128.290100,-112.792400,90.000000,top
C18,100nF/50V,100nF_0603,138.360100,-116.062400,180.000000,top
D1,PESD2CAN,PESD2CAN.215,152.100100,-83.102400,-90.000000,top
D2,PESD2CAN,PESD2CAN.215,149.406100,-94.322400,-90.000000,top
D3,PESD2CAN,PESD2CAN.215,156.170100,-115.462400,180.000000,top
D4,PESD2CAN,PESD2CAN.215,136.250100,-118.802400,90.000000,top
D5,SM712.TCT,SM712.TCT,145.950100,-69.992400,-90.000000,top
D10,LED_KP-2012HD,LED_KP-2012HD_SM0805,125.510100,-105.552400,0.000000,top
D11,LED_KP-2012SGD,LED_KP-2012SGD_SM0805,125.510100,-108.142400,0.000000,top
D12,LED_KP-2012YD,LED_KP-2012YD_SM0805,125.510100,-110.632400,0.000000,top
F1,SN005-60,SN005-60,156.950100,-80.972400,0.000000,top
F2,SN005-60,SN005-60,156.960100,-85.452400,0.000000,top
F3,SN005-60,SN005-60,155.670100,-99.032400,-90.000000,top
F4,SN005-60,SN005-60,152.260100,-99.032400,-90.000000,top
F5,SN005-60,SN005-60,162.690100,-123.162400,-90.000000,top
F6,SN005-60,SN005-60,159.810100,-123.712400,-90.000000,top
F7,SN005-60,SN005-60,138.920100,-75.522400,-90.000000,top
F8,SN005-60,SN005-60,142.120100,-75.522400,-90.000000,top
F9,SN005-60,SN005-60,121.090100,-123.462400,-90.000000,top
F10,SN005-60,SN005-60,123.970100,-124.172400,-90.000000,top
NTC1,NTCS0603E3103FMT,NTCS0603E3103FMT,122.870100,-114.362400,0.000000,top
P1,BBB-DCAN0,DG301-5.0-03P-12-00A(H),161.090100,-55.762400,180.000000,top
P2,BBB-DCAN1,DG301-5.0-03P-12-00A(H),154.060100,-106.852400,180.000000,top
P3,TERM,Goldpin_2_2_54mm,146.590100,-79.442400,-90.000000,top
P4,TERM,Goldpin_2_2_54mm,146.570100,-86.852400,-90.000000,top
P5,TERM,Goldpin_2_2_54mm,140.610100,-90.062400,90.000000,top
P6,TERM,Goldpin_2_2_54mm,140.600100,-97.492400,90.000000,top
P7,MCP2515-CAN,DG301-5.0-03P-12-00A(H),150.430100,-125.162400,0.000000,top
P8,BeagleBone_Black_Header,Socket_BeagleBone_Black,164.630100,-62.382400,0.000000,top
P9,BeagleBone_Black_Header,Socket_BeagleBone_Black,116.370100,-62.382400,0.000000,top
P10,TERM,Goldpin_2_2_54mm,144.860100,-117.752400,0.000000,top
P11,TERM,Goldpin_2_2_54mm,144.880100,-113.662400,0.000000,top
P12,RS485,DG301-5.0-03P-12-00A(H),125.090100,-53.832400,180.000000,top
P15,MCP2512-CAN,DG301-5.0-03P-12-00A(H),133.900100,-125.192400,0.000000,top
